id	en	fr	es	pt	de	ja
landing/buttons/get-free-access	Get free access	Accédez gratuitement	Obtener acceso gratuito	Tenha acesso livre	Erhalten Sie kostenlosen Zugang	無料アクセスを取得します
landing/cloud/title	Trusted by over 5 very average small businesses	Plébiscitée par plus de 5 petites entreprises très moyenne	Con la confianza de más de 5 muy medias pequeñas empresas	Confiança de mais de 5 muito médias empresas de pequeno porte	Trusted von über 5 sehr durchschnittlich kleine Unternehmen	5にわたって非常に平均中小企業から信頼
landing/cta/description	Get in touch or create an account.	Entrez en contact ou créer un compte.	Ponerse en contacto o crear una cuenta.	Entrar em contato ou criar uma conta.	Nehmen Sie Kontakt oder ein Konto erstellen.	連絡を取るか、アカウントを作成します。
landing/cta/title	Ready to get started?	Prêt à commencer?	¿Preparado para comenzar?	Pronto para começar?	Bereit anzufangen?	準備ができ始めるには？
landing/features/connect/description	empty	vider	vacío	vazio	leer	空の
landing/features/connect/title	Connect with Customers	Se connecter avec les clients	Conectar con los clientes	Conectar com os clientes	Verbinden Sie sich mit Kunden,	お客様との接続
landing/features/description	Ac tincidunt sapien vehicula erat auctor pellentesque rhoncus. Et magna sit morbi lobortis. Blandit aliquam sit nisl euismod mattis in.	Ac tincidunt sapien vehicula erat auctor pellentesque rhoncus. Et magna assis morbi lobortis. sit blandit de aliquam NISL euismod Mattis dans.	Ac tincidunt sapiens vehicula erat auctor pellentesque rhoncus. Et Magna sentarse morbi lobortis. sit aliquam blandit nisl euismod Mattis en.	Ac tincidunt sapien vehicula erat auctor pellentesque rhoncus. Et Magna sentar morbi lobortis. sit aliquam Blandit NISL euismod mattis no.	Ac tincidunt sapien vehicula erat auctor pellentesque rhoncus. Et Magna morbi lobortis sitzen. Blandit aliquam sit nisl euismod mattis in.	交流tincidunt SAPIEN vehicula ERAT auctor pellentesque rhoncus。 Etはmorbi lobortis座るマグナ。 Blandit aliquam座るnisl euismod mattisインチ
landing/features/email/description	empty	vider	vacío	vazio	leer	空の
landing/features/email/title	Email Commenting	Envoyer Commentant	Al comentar correo electrónico	enviar e-mail Comentando	Eine E-Mail Kommentar	コメントメール
landing/features/inbox/description	empty	vider	vacío	vazio	leer	空の
landing/features/inbox/title	Unlimited Inboxes	illimité boîtes de réception	Bandejas de entrada ilimitada	ilimitada caixas de entrada	unbegrenzte Inboxes	無制限の受信トレイ
landing/features/manage/description	empty	vider	vacío	vazio	leer	空の
landing/features/manage/title	Manage Team Members	Gérer les membres de l'équipe	Administrar Miembros del equipo	Gerenciar Membros da equipe	Verwalten Teammitglieder	チームメンバーを管理します
landing/features/markdown/description	empty	vider	vacío	vazio	leer	空の
landing/features/markdown/title	Compose in Markdown	Compose Markdown	Componer en Markdown	Compor em Markdown	Compose in Markdown	Markdown記法で作曲
landing/features/replies/description	empty	vider	vacío	vazio	leer	空の
landing/features/replies/title	Saved Replies	Réponses enregistrées	Respuestas guardados	Respostas Gravadas	gespeichert Antworten	保存された回答
landing/features/report/description	empty	vider	vacío	vazio	leer	空の
landing/features/report/title	Team Reporting	rapports d'équipe	equipo de Información	equipe de reportagem	Team Berichterstattung	チームレポート
landing/features/spam/description	empty	vider	vacío	vazio	leer	空の
landing/features/spam/title	Spam Report	Report spam	spam Informe	Spam Relatório	Spam-Bericht	スパムレポート
landing/features/title	Inbox support built for efficiency	support boîte de réception construit pour l'efficacité	Bandeja de entrada de soporte construido para la eficiencia	suporte caixa de entrada construído para eficiência	Inbox Unterstützung für Effizienz gebaut	効率のために構築された受信トレイのサポート
landing/footer/categories/company	Company	Entreprise	Compañía	Companhia	Unternehmen	会社
landing/footer/categories/legal	Legal	Légal	Legal	Jurídico	Rechts-	法的
landing/footer/categories/solutions	Solutions	Solutions	soluciones	soluções	Lösungen	ソリューション
landing/footer/categories/subscribe	Subscribe to our newsletter	Abonnez-vous à notre newsletter	Suscríbete a nuestro boletín	Assine a nossa newsletter	Abonniere unseren Newsletter	ニュースレターを購読する
landing/footer/categories/support	Support	Soutien	Apoyo	Apoio, suporte	Unterstützung	サポート
landing/footer/trademark	© 2020 Virtuose. All rights reserved.	© 2020 Virtuose. Tous les droits sont réservés.	© 2020 Virtuose. Reservados todos los derechos.	© 2020 Virtuose. Todos os direitos reservados.	© 2020 Virtuose. Alle Rechte vorbehalten.	©2020 VIRTUOSE。全著作権所有。
landing/header/solutions/inbox/description	Get a better understanding of where your traffic is coming from	Obtenez une meilleure compréhension de l'endroit où votre trafic provient	Obtener una mejor comprensión de donde su tráfico está viniendo	Obter uma melhor compreensão de onde seu tráfego está vindo	Holen Sie sich ein besseres Verständnis davon, wo Ihr Verkehr kommt von	あなたのトラフィックがどこから来ているのより良い理解を得ます
landing/header/solutions/inbox/title	Inbox	boîte de réception	Bandeja de entrada	Caixa de entrada	Posteingang	受信トレイ
landing/header/solutions/knowledge-base/description	Get a better understanding of where your traffic is coming from	Obtenez une meilleure compréhension de l'endroit où votre trafic provient	Obtener una mejor comprensión de donde su tráfico está viniendo	Obter uma melhor compreensão de onde seu tráfego está vindo	Holen Sie sich ein besseres Verständnis davon, wo Ihr Verkehr kommt von	あなたのトラフィックがどこから来ているのより良い理解を得ます
landing/header/solutions/knowledge-base/title	Inbox	boîte de réception	Bandeja de entrada	Caixa de entrada	Posteingang	受信トレイ
landing/header/solutions/live-chat/description	Get a better understanding of where your traffic is coming from	Obtenez une meilleure compréhension de l'endroit où votre trafic provient	Obtener una mejor comprensión de donde su tráfico está viniendo	Obter uma melhor compreensão de onde seu tráfego está vindo	Holen Sie sich ein besseres Verständnis davon, wo Ihr Verkehr kommt von	あなたのトラフィックがどこから来ているのより良い理解を得ます
landing/header/solutions/live-chat/title	Inbox	boîte de réception	Bandeja de entrada	Caixa de entrada	Posteingang	受信トレイ
landing/header/solutions/messaging/description	Get a better understanding of where your traffic is coming from	Obtenez une meilleure compréhension de l'endroit où votre trafic provient	Obtener una mejor comprensión de donde su tráfico está viniendo	Obter uma melhor compreensão de onde seu tráfego está vindo	Holen Sie sich ein besseres Verständnis davon, wo Ihr Verkehr kommt von	あなたのトラフィックがどこから来ているのより良い理解を得ます
landing/header/solutions/messaging/title	Inbox	boîte de réception	Bandeja de entrada	Caixa de entrada	Posteingang	受信トレイ
landing/hero/description	Virtuose is a full coded website with anything you need to start a project. It's the perfect bootstrap that fit all your needs with code quality kept in mind	Virtuose est un site complet codé avec tout ce dont vous avez besoin pour démarrer un projet. Il est le parfait bootstrap qui correspondent à tous vos besoins avec la qualité du code garder à l'esprit	Virtuose es una página web codificada completa con todo lo que necesita para iniciar un proyecto. Es el arranque perfecto que encaja todas sus necesidades con la calidad del código tenerse en cuenta	Virtuose é um site cheio codificado com qualquer coisa que você precisa para começar um projeto. É o bootstrap perfeito que atender todas as suas necessidades com a qualidade do código mantido em mente	Virtuose ist eine Full-codierte Webseite mit allem, was Sie brauchen, um ein Projekt zu starten. Es ist die perfekte Bootstrap, die alle Ihre Bedürfnisse mit Code-Qualität passen im Auge behalten	VIRTUOSEは、プロジェクトを開始するために必要なものとの完全なコード化されたウェブサイトです。これは、コードの品質を持つすべてのニーズに合わせて最適なブートストラップを念頭に置いています
landing/hero/title	A better way to <span>ship web apps</span>	Une meilleure façon de lancer des <span>applications</ span>	Una mejor manera de <span> aplicaciones web buque </ span>	A melhor maneira de <span> Aplicativos navio web </ span>	Eine bessere Möglichkeit, <span> Schiff Web-Anwendungen </ span>	<span>の船のWebアプリケーション</ span>のに良い方法
landing/input/email	Enter your email	Entrer votre Email	Introduce tu correo electrónico	Digite seu e-mail	Geben sie ihre E-Mail Adresse ein	メールアドレスを入力
landing/menu/is-customer	Existing customer ?	Client existant ?	Cliente existente ?	Cliente existente ?	Bestehender Kunde ?	既存の顧客？
landing/seo/description	With Virtuose, you have a full website, full tested, CI/CD enabled	Avec Virtuose, vous avez un site complet, complet testé, CI / CD permis	Con Virtuose, usted tiene un sitio web completo, lleno probado, CI / CD habilitado	Com Virtuose, você tem um site completo, cheio testado, CI / CD habilitado	Mit Virtuose, Sie eine vollständige Website, voll getestet, CI / CD aktiviert	VIRTUOSEを使用すると、完全なウェブサイトを持って、完全なテスト、CI / CDが有効
landing/seo/title	Virtuose, clean and fast website bootstrap	Virtuose, bootstrap site propre et rapide	Virtuose, sitio limpio y rápido de arranque	Virtuose, o site limpo e rápido de bootstrap	Virtuose, saubere und schnelle Website Bootstrap	VIRTUOSE、クリーンで高速なウェブサイトのブートストラップ
landing/stats/companies/description	Companies use laoreet amet lacus nibh integer quis.	Les entreprises utilisent laoreet amet lacus nibh entier quis.	Las empresas utilizan laoreet amet lacus nibh número entero quis.	As empresas usam laoreet amet lacus nibh inteiro Quis.	Unternehmen nutzen laoreet amet lacus nibh integer quis.	企業はlaoreet AMETラクスNIBH整数QUISを使用しています。
landing/stats/companies/value	8K+	8K +	8K +	8K +	8K +	8K +
landing/stats/countries/description	Countries around the globe lacus nibh integer quis.	Les pays du monde entier lacus nibh quis.	Los países de todo el mundo lacus nibh número entero quis.	Países ao redor do globo lacus nibh inteiro Quis.	Die Länder rund um den Globus lacus nibh integer quis.	世界中の国ラクスNIBH整数QUIS。
landing/stats/countries/value	25K+	25K +	25K +	25K +	25K +	25K +
landing/stats/customers/description	Customer satisfaction laoreet amet lacus nibh integer quis.	La satisfaction du client laoreet amet lacus nibh entier quis.	La satisfacción del cliente laoreet amet lacus nibh número entero quis.	A satisfação do cliente laoreet amet lacus nibh inteiro Quis.	Kundenzufriedenheit laoreet amet lacus nibh integer quis.	顧客満足度laoreet AMETラクスNIBH整数QUIS。
landing/stats/customers/value	98%	98%	98%	98%	98%	98％
landing/stats/description	Rhoncus sagittis risus arcu erat lectus bibendum. Ut in adipiscing quis in viverra tristique sem. Ornare feugiat viverra eleifend fusce orci in quis amet. Sit in et vitae tortor, massa. Dapibus laoreet amet lacus nibh integer quis. Eu vulputate diam sit tellus quis at.	Rhoncus sagittis risus arcu erat lectus bibendum. Dans adipiscing quis ut dans viverra tristique ETM. Ornare feugiat viverra eleifend Fusce Orci dans quis amet. Asseyez-vous et tortor vitae, massa. Dapibus laoreet amet lacus NIBH entier quis. Tellus quis à Eu vulputate sit diam.	Rhoncus sagittis RISUS arcu erat lectus bibendum. Ut en adipiscing quis en viverra tristique sem. Ornare feugiat viverra eleifend Fusce Orci en quis Amet. Sit en et vitae tortor, Massa. Dapibus laoreet amet lacus nibh número entero quis. Eu diámetro vulputate sentada en Tellus quis.	Rhoncus sagittis risus arcu erat lectus Bibendum. Ut em adipiscing Quis em viverra tristique sem. Ornare feugiat viverra eleifend Fusce Orci em Quis amet. Sente-se em et vitae tortor, Massa. Dapibus laoreet amet lacus NIBH inteiro Quis. Eu diam vulputate sit tellus QUIS no.	Rhoncus sagittis risus arcu erat lectus bibendum. Ut in adipiscing quis in viverra Tristique Sem. Ornare feugiat viverra eleifend Fusce orci in quis amet. Setzen Sie sich in et vitae tortor, massa. Dapibus laoreet amet lacus NIBH integer quis. Eu vulputate diam sit tellus quis an.	Rhoncus sagittis risus ARCU ERAT lectusビバンダム。ユタ州adipiscing QUISでviverra tristique SEM。 Ornare feugiat viverra eleifend fusce orciでQUIS AMET。ら履歴書tortor、マッサに座ります。 Dapibus laoreet AMETラクスNIBH整数QUIS。 Euのvulputate DIAM座るTELLUSはでQUIS。
landing/stats/issues/description	Issues resolved lacus nibh integer quis.	Problèmes résolus lacus nibh entier quis.	Problemas resueltos lacus nibh número entero quis.	Problemas resolvidos lacus nibh inteiro Quis.	Probleme behoben lacus nibh integer quis.	問題はラクスNIBH整数QUISを解決しました。
landing/stats/issues/value	12M+	12M +	12M +	12M +	12M +	12M +
landing/stats/label	Valuable metrics	métriques précieuses	métricas valiosas	métricas valiosas	wertvolle Kennzahlen	貴重なメトリック
landing/stats/title	Get actionable data that will help grow your business	Obtenez des données exploitables qui vous aideront à développer votre entreprise	Obtener datos procesables que le ayudarán a crecer su negocio	Obter dados acionáveis ​​que ajudarão a crescer o seu negócio	Erhalten Sie verwertbare Daten, die helfen das Wachstum Ihres Unternehmens	あなたのビジネスの成長を支援します実用的なデータを取得します
landing/tabs/about	About	À propos de	Sobre	Sobre	Über	約
landing/tabs/analytics	Analytics	Analytique	Analítica	analítica	Analytics	解析
landing/tabs/api-status	API Status	Statut de l'API	Estado de la API	Estado API	API-Status	APIステータス
landing/tabs/blog	Blog	Blog	Blog	Blog	Blog	ブログ
landing/tabs/claim	Claim	Prétendre	Afirmar	Alegar	Anspruch	請求
landing/tabs/commerce	Commerce	Commerce	Comercio	Comércio	Handel	商業
landing/tabs/company	Company	Entreprise	Compañía	Companhia	Unternehmen	会社
landing/tabs/documentation	Documentation	Documentation	Documentación	Documentação	Dokumentation	ドキュメンテーション
landing/tabs/guides	Guides	guides	guías	Guides	Guides	ガイド
landing/tabs/inbox	Inbox	boîte de réception	Bandeja de entrada	Caixa de entrada	Posteingang	受信トレイ
landing/tabs/insights	Insights	Connaissances	Perspectivas	Intuições	Insights	洞察
landing/tabs/jobs	Jobs	Emplois	Trabajos	Empregos	Arbeitsplätze	ジョブズ
landing/tabs/knowledge-base	Knowledge Base	base de connaissances	Base de conocimientos	base de conhecimento	Wissensbasis	知識ベース
landing/tabs/live-chat	Live Chat	Chat en direct	Chat en vivo	Bate-papo ao vivo	Live-Chat	ライブチャット
landing/tabs/marketing	Marketing	Commercialisation	Márketing	Marketing	Marketing	マーケティング
landing/tabs/messaging	Messaging	Messagerie	Mensajería	Mensagens	Messaging	メッセージング
landing/tabs/partners	Partners	Les partenaires	Socios	parceiros	Partner	パートナー
landing/tabs/press	Press	presse	Prensa	Aperte	Drücken Sie	押す
landing/tabs/pricing	Free	Libérer	Libre	Livre	Frei	自由
landing/tabs/privacy	Privacy	Vie privée	Intimidad	Privacidade	Privatsphäre	プライバシー
landing/tabs/signin	Sign in	S'identifier	Registrarse	Entrar	Einloggen	ログイン
landing/tabs/signup	Sign up	S'inscrire	Inscribirse	Inscrever-se	Anmelden	サインアップ
landing/tabs/subscribe/description	The latest news, articles, and resources, sent to your inbox weekly.	Les dernières nouvelles, des articles et des ressources, envoyées à votre hebdomadaire de boîte de réception.	Las últimas noticias, artículos, y los recursos, enviadas a su bandeja de entrada semanal.	As últimas notícias, artigos e recursos, enviado para o seu semanal caixa de entrada.	Die neuesten Nachrichten, Artikel und Ressourcen, in Ihrem Posteingang wöchentlich gesendet.	最新のニュース、記事、およびリソースは、受信トレイの毎週に送信します。
landing/tabs/terms	Terms	termes	Condiciones	condições	Bedingungen	条項
pricing/single-pricing/title	Everything you need for <span>free</span>	Tout ce que vous avez besoin pour <span> </ span>	Todo lo que necesita <span> libre </ span>	Tudo o que você precisa para <span> livre </ span>	Alles, was Sie brauchen für <span> kostenlos </ span>	あなたが<span>を無料</ span>のために必要なすべて
pricing/single-pricing/description	Everything is free forever, but you can donate if you appreciate the gift	Tout est gratuit, mais vous pouvez faire un don si vous appréciez le don	Todo es gratis para siempre, pero se puede donar si usted aprecia el regalo	Tudo é livre para sempre, mas você pode doar se você apreciar o presente	Alles ist immer frei, aber Sie können spenden, wenn Sie das Geschenk zu schätzen wissen	すべては永遠に無料ですが、あなたは贈り物に感謝場合は、寄付することができます
pricing/single-pricing/features/title	All-in-one platform	Tout-en-une plate-forme	Todo en una sola plataforma	Tudo-em-uma plataforma	All-in-one-Plattform	オールインワンプラットフォーム
pricing/single-pricing/features/description	Ac euismod vel sit maecenas id pellentesque eu sed consectetur. Malesuada adipiscing sagittis vel nulla nec. Urna, sed a lectus elementum blandit et.	Ac euismod id de sit vel pellentesque eu sed consectetur. vel nulla nec de la Malesuada adipiscing. Urna, sed une lectus elementum blandit et.	Ac euismod vel sentada maecenas Identificación pellentesque eu sed consectetur. Malesuada adipiscing sagittis ncp vel nulla. Urna, sed un lectus elementum blandit et.	Ac euismod vel sit mecenas id pellentesque eu sed consectetur. Malesuada adipiscing sagittis nec vel nulla. Urna, sed um Lectus elementum blandit et.	Ac euismod id maecenas vel sit pellentesque eu consectetur sed. Malesuada adipiscing sagittis vel nulla nec. Urna, sed ein lectus elementum blandit et.	AcはEU pellentesque VEL座るマエケナスidはconsecteturをsedのeuismod。 Malesuadaのadipiscing sagittis VELのNULLAのNEC。白毫は、lectus elementum blanditらをsedの。
pricing/single-pricing/features/label	Everything you need	Tout ce dont vous avez besoin	Todo lo que necesitas	Tudo que você precisa	Alles, was du brauchst	あなたが必要とするすべて
pricing/single-pricing/features/1	Vitae in pulvinar odio id utobortis in inter.	Vitae dans id pulvinar odio utobortis en inter.	Vitae en pulvinar Identificación del odio en utobortis entre otras.	Vitae em id odio pulvinar utobortis no Inter.	Vitae in pulvinar odio id utobortis in inter.	視床枕odio IDでの履歴書は、相互にutobortis。
pricing/single-pricing/features/2	Vitae in pulvinar odio id utobortis in inter.	Vitae dans id pulvinar odio utobortis en inter.	Vitae en pulvinar Identificación del odio en utobortis entre otras.	Vitae em id odio pulvinar utobortis no Inter.	Vitae in pulvinar odio id utobortis in inter.	視床枕odio IDでの履歴書は、相互にutobortis。
pricing/single-pricing/features/3	Vitae in pulvinar odio id utobortis in inter.	Vitae dans id pulvinar odio utobortis en inter.	Vitae en pulvinar Identificación del odio en utobortis entre otras.	Vitae em id odio pulvinar utobortis no Inter.	Vitae in pulvinar odio id utobortis in inter.	視床枕odio IDでの履歴書は、相互にutobortis。
pricing/single-pricing/features/4	Vitae in pulvinar odio id utobortis in inter.	Vitae dans id pulvinar odio utobortis en inter.	Vitae en pulvinar Identificación del odio en utobortis entre otras.	Vitae em id odio pulvinar utobortis no Inter.	Vitae in pulvinar odio id utobortis in inter.	視床枕odio IDでの履歴書は、相互にutobortis。
pricing/single-pricing/features/5	Vitae in pulvinar odio id utobortis in inter.	Vitae dans id pulvinar odio utobortis en inter.	Vitae en pulvinar Identificación del odio en utobortis entre otras.	Vitae em id odio pulvinar utobortis no Inter.	Vitae in pulvinar odio id utobortis in inter.	視床枕odio IDでの履歴書は、相互にutobortis。
pricing/single-pricing/features/6	Vitae in pulvinar odio id utobortis in inter.	Vitae dans id pulvinar odio utobortis en inter.	Vitae en pulvinar Identificación del odio en utobortis entre otras.	Vitae em id odio pulvinar utobortis no Inter.	Vitae in pulvinar odio id utobortis in inter.	視床枕odio IDでの履歴書は、相互にutobortis。
pricing/single-pricing/features/7	Vitae in pulvinar odio id utobortis in inter.	Vitae dans id pulvinar odio utobortis en inter.	Vitae en pulvinar Identificación del odio en utobortis entre otras.	Vitae em id odio pulvinar utobortis no Inter.	Vitae in pulvinar odio id utobortis in inter.	視床枕odio IDでの履歴書は、相互にutobortis。
pricing/single-pricing/features/8	Vitae in pulvinar odio id utobortis in inter.	Vitae dans id pulvinar odio utobortis en inter.	Vitae en pulvinar Identificación del odio en utobortis entre otras.	Vitae em id odio pulvinar utobortis no Inter.	Vitae in pulvinar odio id utobortis in inter.	視床枕odio IDでの履歴書は、相互にutobortis。
pricing/single-pricing/features/9	Vitae in pulvinar odio id utobortis in inter.	Vitae dans id pulvinar odio utobortis en inter.	Vitae en pulvinar Identificación del odio en utobortis entre otras.	Vitae em id odio pulvinar utobortis no Inter.	Vitae in pulvinar odio id utobortis in inter.	視床枕odio IDでの履歴書は、相互にutobortis。
pricing/single-pricing/features/10	Vitae in pulvinar odio id utobortis in inter.	Vitae dans id pulvinar odio utobortis en inter.	Vitae en pulvinar Identificación del odio en utobortis entre otras.	Vitae em id odio pulvinar utobortis no Inter.	Vitae in pulvinar odio id utobortis in inter.	視床枕odio IDでの履歴書は、相互にutobortis。
pricing/single-pricing/get-started	Get started today	Commencer aujourd'hui	Empiece hoy	Comece hoje	Starten Sie noch heute	今日始めましょう
pricing/seo/title	Pricing page	page Prix	página de precios	página de preços	Preis Seite	価格設定ページ
pricing/seo/description	Virtuose in one pricing plan	Virtuose dans un plan de tarification	VIRTUOSE en un plan de precios	Virtuose em um plano de preços	Virtuose in einem Preisgestaltungsplan	1つの価格設定プランでVIRTUOSE
pricing/faq/title	Frequently asked questions	Questions fréquemment posées	Preguntas frecuentes	Perguntas frequentes	Häufig gestellte Fragen	よくある質問
pricing/faq/1/question	What's the best thing about Switzerland?	Quelle est la meilleure chose à propos de la Suisse?	¿Cuál es la mejor de Suiza?	Qual é a melhor coisa sobre Suíça?	Was ist das Beste, was über die Schweiz?	スイスについての最もよい事は何ですか？
pricing/faq/1/answer	I don't know, but the flag is a big plus. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	Je ne sais pas, mais le drapeau est un gros plus. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	No sé, pero la bandera es una gran ventaja. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	Eu não sei, mas a bandeira é uma grande vantagem. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	Ich weiß es nicht, aber die Fahne ist ein großes Plus. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	私は知らないが、フラグが大きなプラスです。 Loremのイプサム嘆き座るAMET consectetur adipisicing ELIT。 Quas cupiditate laboriosam fugiat。
pricing/faq/2/question	What's the best thing about Switzerland?	Quelle est la meilleure chose à propos de la Suisse?	¿Cuál es la mejor de Suiza?	Qual é a melhor coisa sobre Suíça?	Was ist das Beste, was über die Schweiz?	スイスについての最もよい事は何ですか？
pricing/faq/2/answer	I don't know, but the flag is a big plus. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	Je ne sais pas, mais le drapeau est un gros plus. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	No sé, pero la bandera es una gran ventaja. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	Eu não sei, mas a bandeira é uma grande vantagem. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	Ich weiß es nicht, aber die Fahne ist ein großes Plus. Lorem ipsum dolor sit amet consectetur adipisicing elit. Quas cupiditate laboriosam fugiat.	私は知らないが、フラグが大きなプラスです。 Loremのイプサム嘆き座るAMET consectetur adipisicing ELIT。 Quas cupiditate laboriosam fugiat。
pricing/faq/3/question	What's the best thing about Switzerland?	Quelle est la meilleure chose à propos de la Suisse?	¿Cuál es la mejor de Suiza?	Qual é a melhor coisa sobre Suíça?	Was ist das Beste, was über die Schweiz?	スイスについての最もよい事は何ですか？
